iter	Passed	Remaining
0	114	114648
1	116	58339
2	118	39529
3	120	30050
4	122	24463
5	125	20746
6	127	18066
7	129	16061
8	131	14454
9	133	13192
10	135	12157
11	137	11324
12	139	10598
13	141	9965
14	143	9430
15	145	8929
16	146	8495
17	148	8090
18	149	7743
19	152	7457
20	153	7177
21	155	6905
22	156	6668
23	158	6443
24	159	6235
25	161	6054
26	163	5882
27	165	5738
28	167	5593
29	169	5483
30	171	5347
31	172	5216
32	173	5092
33	175	4983
34	176	4877
35	178	4784
36	181	4711
37	182	4628
38	184	4555
39	186	4472
40	188	4399
41	189	4318
42	191	4251
43	192	4179
44	194	4122
45	196	4081
46	198	4033
47	201	3988
48	202	3928
49	204	3876
50	205	3826
51	207	3779
52	209	3738
53	210	3694
54	212	3648
55	214	3608
56	215	3568
57	217	3525
58	218	3482
59	219	3441
60	220	3398
61	222	3366
62	224	3333
63	225	3301
64	226	3262
65	228	3226
66	229	3197
67	231	3166
68	232	3132
69	233	3100
70	234	3067
71	235	3035
72	236	3003
73	238	2979
74	240	2964
75	241	2935
76	242	2907
77	243	2881
78	245	2856
79	246	2831
80	247	2804
81	248	2780
82	248	2750
83	250	2727
84	251	2704
85	252	2683
86	254	2666
87	255	2650
88	256	2629
89	257	2607
90	259	2588
91	260	2567
92	261	2548
93	262	2529
94	263	2510
95	264	2491
96	265	2472
97	266	2454
98	268	2440
99	270	2430
100	271	2416
101	272	2402
102	274	2386
103	275	2371
104	276	2356
105	277	2341
106	278	2326
107	279	2310
108	280	2296
109	282	2283
110	283	2273
111	285	2264
112	287	2253
113	288	2240
114	289	2227
115	290	2213
116	291	2198
117	292	2185
118	293	2172
119	294	2161
120	296	2150
121	296	2137
122	298	2128
123	300	2122
124	301	2113
125	303	2108
126	305	2097
127	306	2086
128	307	2075
129	308	2065
130	309	2054
131	310	2043
132	311	2032
133	313	2025
134	315	2020
135	316	2013
136	318	2003
137	319	1995
138	320	1985
139	321	1977
140	323	1968
141	323	1956
142	324	1947
143	325	1937
144	326	1927
145	328	1920
146	330	1916
147	331	1909
148	332	1901
149	334	1893
150	335	1884
151	336	1876
152	337	1868
153	338	1859
154	339	1851
155	340	1843
156	341	1835
157	343	1828
158	344	1822
159	346	1817
160	346	1808
161	348	1802
162	349	1796
163	351	1790
164	352	1783
165	353	1776
166	354	1768
167	355	1761
168	357	1755
169	358	1750
170	360	1746
171	362	1743
172	363	1737
173	364	1731
174	366	1726
175	367	1720
176	368	1715
177	370	1710
178	371	1705
179	373	1702
180	375	1700
181	377	1695
182	378	1689
183	379	1683
184	380	1677
185	381	1671
186	382	1665
187	384	1660
188	385	1654
189	386	1648
190	387	1642
191	389	1637
192	391	1635
193	392	1632
194	394	1627
195	395	1622
196	396	1617
197	397	1612
198	399	1606
199	400	1601
200	401	1595
201	402	1590
202	403	1585
203	405	1582
204	406	1577
205	407	1572
206	409	1566
207	410	1562
208	411	1557
209	412	1552
210	413	1547
211	414	1542
212	416	1537
213	417	1532
214	418	1528
215	420	1525
216	421	1522
217	422	1517
218	424	1512
219	425	1507
220	426	1502
221	427	1497
222	428	1493
223	429	1488
224	431	1484
225	432	1479
226	433	1475
227	434	1472
228	436	1470
229	438	1466
230	439	1462
231	440	1457
232	441	1453
233	442	1449
234	443	1444
235	444	1440
236	446	1436
237	447	1431
238	448	1428
239	450	1425
240	451	1422
241	453	1419
242	454	1415
243	455	1411
244	456	1407
245	458	1404
246	459	1400
247	460	1395
248	461	1391
249	462	1387
250	463	1383
251	464	1380
252	466	1378
253	468	1375
254	469	1371
255	470	1367
256	471	1363
257	472	1359
258	473	1355
259	475	1352
260	476	1349
261	477	1345
262	478	1341
263	480	1340
264	482	1338
265	483	1334
266	485	1332
267	486	1328
268	487	1325
269	488	1321
270	489	1317
271	490	1314
272	492	1310
273	493	1307
274	495	1305
275	496	1303
276	498	1300
277	499	1297
278	500	1294
279	502	1291
280	503	1288
281	504	1285
282	506	1282
283	507	1280
284	509	1278
285	511	1276
286	512	1273
287	514	1271
288	515	1268
289	517	1266
290	518	1263
291	519	1260
292	521	1257
293	522	1254
294	524	1252
295	525	1250
296	527	1249
297	529	1246
298	530	1243
299	531	1240
300	532	1237
301	534	1234
302	535	1231
303	536	1228
304	537	1225
305	539	1222
306	541	1221
307	542	1219
308	544	1216
309	545	1214
310	546	1211
311	548	1208
312	549	1205
313	550	1203
314	552	1200
315	553	1198
316	555	1196
317	557	1194
318	558	1192
319	559	1189
320	561	1186
321	562	1183
322	563	1180
323	564	1177
324	565	1175
325	566	1172
326	568	1169
327	569	1167
328	571	1166
329	573	1164
330	574	1161
331	576	1158
332	577	1156
333	578	1153
334	579	1150
335	580	1147
336	581	1144
337	582	1141
338	584	1139
339	586	1138
340	587	1135
341	588	1132
342	589	1129
343	590	1126
344	592	1124
345	593	1121
346	594	1119
347	595	1116
348	597	1113
349	598	1112
350	600	1110
351	602	1108
352	603	1105
353	604	1103
354	605	1100
355	606	1097
356	607	1094
357	608	1091
358	610	1089
359	611	1087
360	612	1084
361	614	1082
362	615	1080
363	617	1078
364	618	1076
365	620	1074
366	621	1071
367	622	1069
368	623	1066
369	624	1063
370	626	1061
371	627	1058
372	628	1056
373	629	1054
374	631	1053
375	633	1050
376	634	1048
377	635	1046
378	637	1043
379	638	1041
380	639	1038
381	640	1036
382	641	1033
383	642	1030
384	643	1028
385	645	1026
386	647	1025
387	648	1023
388	649	1020
389	651	1018
390	652	1016
391	653	1014
392	655	1011
393	656	1009
394	657	1007
395	658	1004
396	660	1003
397	662	1002
398	664	1000
399	665	998
400	666	996
401	667	993
402	669	991
403	670	988
404	671	986
405	672	984
406	674	982
407	676	981
408	677	978
409	678	976
410	679	974
411	681	972
412	682	969
413	683	967
414	684	964
