iter	Passed	Remaining
0	1	139
1	2	131
2	3	124
3	4	116
4	6	116
5	7	114
6	8	112
7	9	111
8	10	108
9	11	106
10	12	104
11	13	102
12	14	100
13	15	98
14	16	96
15	17	94
16	18	92
17	19	90
18	21	89
19	22	88
20	23	86
21	24	85
22	25	84
23	26	82
24	27	81
25	28	80
26	29	78
27	30	77
28	31	76
29	32	75
30	33	73
31	34	72
32	35	71
33	36	70
34	37	69
35	38	68
36	39	67
37	40	65
38	41	65
39	42	63
40	43	62
41	44	60
42	44	59
43	46	58
44	46	57
45	47	56
46	48	55
47	49	54
48	50	53
49	52	52
50	52	50
51	54	49
52	55	48
53	56	47
54	57	46
55	58	45
56	59	44
57	60	43
58	61	42
59	62	41
60	63	40
61	64	39
62	65	38
63	66	37
64	67	36
65	68	35
66	69	34
67	71	33
68	72	32
69	73	31
70	74	30
71	75	29
72	76	28
73	77	27
74	78	26
75	79	25
76	80	24
77	82	23
78	83	22
79	84	21
80	85	19
81	86	18
82	87	17
83	88	16
84	89	15
85	90	14
86	91	13
87	92	12
88	93	11
89	94	10
90	95	9
91	96	8
92	97	7
93	98	6
94	99	5
95	100	4
96	101	3
97	103	2
98	104	1
99	105	0
